id,lesson_id,"title","description","link_to_website"
71,203,"How to run a focus Group","2005 Copyright © Eliot & Associates. All rights reserved.",NULL
656,235,"Manufacturing Week Toolkit","This toolkit give instructions to educators and staff how to implement a sucessful Manufacturing Week event using Future Forwad and activities for students to provide deeper learning and clear next steps to connect with employers of interest.","https://docs.google.com/document/d/1nznijrPYLe5H0LjbWVkub1tKoMTPpT6g6nt6roBbmuA/edit?usp=sharing"
772,28,"MN Careerwise website","Assess your skills, set goals, and explore 800+ careers.","http://careerwise.minnstate.edu"
773,20,"Power Point on Key Partnerships","Links to Osterwalder's Business Model Canvas",NULL
774,20,"Key Partnership Quiz","You can use this quiz if students are using Alex Osterwalder's Business Model Canvas book to study entrepreneurship","https://docs.google.com/forms/d/1qD2_OPojzA_dRKdvlRiOYWCv7Mdfhhs9jEmyIgvdfXo/edit?usp=sharing"
778,237,"Case Studies ","Provide this document to students 4 days in advance to read and prepare before the class",NULL
779,237,"POWER POINT TO USE IN CLASS","Note: the last slide has embedded within the P & G logo a link to the YouTube video where the company talks about its strategic partnerships and \"Connect and Develop\"",NULL
780,237,"Connect and Develop history at Procter and Gamble","This YouTube video gives an overview of how P&G have collaborated with external partners throughout their history: https://youtu.be/SAvwst8FAuk","https://youtu.be/SAvwst8FAuk"
781,237,"A. G. Lafley, Former Chairman & CEO, P&G discussing open Innovation","https://youtu.be/_7mMToRlAxs","https://youtu.be/_7mMToRlAxs"
782,20,"Steve Blank Summary on Key Partnerships",NULL,"https://youtu.be/PYE55EVpfmU"
801,14,"Overview of Business Model Canvas Power Point","Contact cpears@apritonadvisors if you cannot access the Power Point in Google Drive","https://docs.google.com/presentation/d/1dg1t30IvIdm1vYJji7cP_rDonzSe8HvFQShnPLtmVBs/edit?usp=sharing"
802,15,"Google Slide Presentation","This presentation was used for HS students who were developing their own business idea for a shark tank style competition","https://drive.google.com/file/d/18mVm4NQ06PrTYB7Sv4fzbDBdQuT-YYJO/view?usp=sharing"
803,241,"Rubric for sales professionals to use to give written feedback to student teams",NULL,"https://drive.google.com/file/d/0B9jB3Ko3-fXuTlIwcU5kLU00SlE/view?usp=sharing"
804,241,"Alternative rubric for professionals to use with more emphasis on 4 P's of marketing",NULL,"https://drive.google.com/file/d/0B38czYscfoGOdXJOMWZLVFN3NEU/view?usp=sharing"
805,241,"Sample instruction sheet for students and professionals used in past by a teacher",NULL,"https://drive.google.com/file/d/1_PQ__0oTQ5xQKdyVV44KopHq5_uwFXY2/view?usp=sharing"
806,16,"Google Slide Presentation on Customer Channels and Relationships","Also includes a postscript of why some businesses fail through the lens of the Business Model Canvas Framework","https://docs.google.com/presentation/d/1-AnxQAVEGrm4Ep6zlmlyYyyGUxX1MPfri7XCj_aVetc/edit?usp=sharing"
807,16,"Quiz for students on customer channels","Contact Chris Pears at cpears@apritonadvisors if you are an educator who wants to access the editable version","https://docs.google.com/forms/d/e/1FAIpQLSdzl1wW61Dm4pewzE1ZN92XG1L9NL5NEsiUzMdDhRvFGgiziQ/viewform"
808,17,"Combined Customer Channels and Customer Relationship Google Slides prez","Contact Chris Pears, cpears@apritonadvisors.com to get editable version","https://docs.google.com/presentation/d/1-AnxQAVEGrm4Ep6zlmlyYyyGUxX1MPfri7XCj_aVetc/edit?usp=sharing"
809,17,"Customer Relationship Quiz","Contact Chris Pears, cpears@apritonadvisors.com to get editable version","https://docs.google.com/forms/d/e/1FAIpQLSfZ8E7hCnPK0J6g8B5PyUpHZiLg7kCmz5ZDJOqdX2aLlU-etQ/viewform"
810,18,"Customer Segments Quiz","Contact Chris Pears, cpears@apritonadvisors.com if you are a teacher and want access to the editable template","https://docs.google.com/forms/d/e/1FAIpQLSdbD05qLYAU8ypYUyC0KzKubOx--bjZnm36bsz7rSguslh5WQ/viewform"
811,18,"Google Slides Presentation","Contact Chris Pears, cpears@apritonadvisors.com to get access to an editable version","https://docs.google.com/presentation/d/14tptIjrwWyxtcz3mEepM3k0NXcMIou9Qr0L8ScQrT7c/edit?usp=sharing"
812,242,"Overview Presentation on How to do an Elevator Pitch","Contact Chris Pears at cpears@apritonadvisors.com to get access to presentation editor ability","https://docs.google.com/presentation/d/1CR5ND5v1wFij9j25aixIJi2PE6tFyqZdUrN0yAdsbnQ/edit?usp=sharing"
813,242,"Rubric for students to use to prepare their Elevator Pitches","This rubric was used where students recorded themselves on video doing an elevator pitch and then the rubric was used by judges who had viewed the videos remotely","https://drive.google.com/file/d/0B9jB3Ko3-fXuMERlQXNvTjlTVkE/view?usp=sharing"
