Lesson Title,Career Cluster ID,Grade IDs,Primary Course ID,Secondary Course IDs,Lesson Summary,Lesson Learning Outcomes,Lesson Educational Standards,Thumbnail Image,Featured Image,Short Description
A Star is Born! Stellar Lifecycle Evolution and How Stars Work,15,"4,5",50,,"How are stars created, and what happens to them over the course of their lifecycle?","<p>By the end of this lesson, students will:</p> <p>&nbsp;</p> <p>&nbsp;</p> <ul> <li>Understand that our sun is a star, similar to many other stars in the universe</li> <li>Become familiar with the basic concepts of stellar formation and evolution</li> <li>Develop an awareness of the many different kinds of stars and their defining characteristics</li> </ul> <p>&nbsp;</p> <p>EXTENSION TOPICS:</p> <p>&nbsp;</p> <ul> <li>&ldquo;Going Out with a Bang! What Happens When a Star Goes Supernova&rdquo;</li> </ul>",,lesson-a-star-is-born.jpeg,lesson-a-star-is-born.jpeg,"How are stars created, and what happens to them over the course of their lifecycle? "
AC- DC Energy,13,"4,5",49,"20,21,24,50",Conversion of direct current (DC) power to alternating current (AC) power; why is this required for interconnection to the energy grid? What are the differences between AC and DC power,,,lesson-ac-dc.jpeg,lesson-ac-dc.jpeg,
Accounting: Making journal entries for a service business.,4,"4,5",3,9,"How do service business process their invoices, and sales to keep an accurate general journal and general ledger?",<p>By the end of this lesson students will be able to:</p> <ul> <li>process invoices and sales orders</li> <li>enter information into the general journal</li> <li>enter information into the general ledger</li> </ul>,,lesson-accounting.jpeg,lesson-accounting.jpeg,"How do service business process their invoices, and sales to keep an accurate general journal and general ledger?"
Addiction,14,"4,5",30,47,"This lesson would explore altered states of consciousness, specifically psychoactive drug use and addiction. Areas of potential instruction include describing how tolerance and addiction work physiologically and psychologically. Examining the common misconceptions about addiction. Identifying and describing the effects of depressants, stimulants and hallucinogens.","<p>By the end of this lesson, students will be able to answer the following questions:</p> <ul> <li>How does the misuse of drugs affect daily like?</li> <li>Why is it important to know about different types of psychoactive drugs?</li> <li>What are Biological, Psychological and Social-Cultural influences on drug use and addiction?</li> </ul>",<p>APA Consciousness Content Standard 3: Categories of psychoactive drugs and their effects</p> <p>3.1 Characterize the major categories of psychoactive drugs and their effects.</p> <p>3.2 Describe how psychoactive drugs act at the synaptic level.</p> <p>3.3 Evaluate the biological and psychological effects of psychoactive drugs.</p> <p>3.4 Explain how culture and expectations influence the use and experience of drugs.</p>,addiction.jpeg,addiction.jpeg,"This lesson would explore altered states of consciousness, specifically psychoactive drug use and addiction. Areas of potential instruction include describing how tolerance and addiction work physiologically and psychologically. Examining the common misconceptions about addiction. Identifying and describing the effects of depressants, stimulants and hallucinogens."
Advertising Analysis,14,"4,5",22,"6,9,23,40","<ul><li>How do ads work to persuade consumers to buy products or services?</li><li>What are differences between print, social, and television advertising?</li><li>Why is it important to understand how ads work and analyze their messaging?</li></ul>","<p><strong>Learning Objectives:</strong></p><p>Students will learn</p><ul><li>What techniques advertisers use to persuade</li><li>How ads use a mix of images and text to achieve a purpose</li><li>How ad writers use the principles of narrative / storytelling</li><li>Why it is important to consider who is represented in ads, and who isnÕt</li><li>How advertisers use demographics to target their ads</li></ul><p><strong>&nbsp;</strong></p><p><strong>Resources:</strong></p><ul><li>Persuasive Techniques in Advertiting, Read Write Think (NCTE resource): <a href=""http://www.readwritethink.org/classroom-resources/lesson-plans/persuasive-techniques-advertising-1166.html?tab=4"" target=""_blank"">http://www.readwritethink.org/classroom-resources/lesson-plans/persuasive-techniques-advertising-1166.html?tab=4</a></li><li>11 Activities for Teaching About Advertising, Institute for Humane Education: <a href=""https://humaneeducation.org/blog/2017/6-activities-for-teaching-about-advertising/"" target=""_blank"">https://humaneeducation.org/blog/2017/6-activities-for-teaching-about-advertising/</a></li></ul><p><br></p><p><strong>Tips:</strong></p><ul><li>Explain the challenges of creating ads Ñ what issues/problems come up?</li><li>Show any in-process materials: storyboards, initial proposals, edits</li><li>Consider discussing the ethics of advertising</li></ul>",,advertising-analysis.jpeg,advertising-analysis.jpeg,How do we create advertisements that persuade consumers to purchase a product or service and what are the optimal mediums for advertising for different kinds of businesses?
Analyzing water quality data and using findings to create a public policy,15,5,11,8,Students will collect data on a local waterway and then use their data to create a policy to either continue the health of the waterway or clean up the waterway. ,"<ul><li>Students will preform laboratory tests and analyze data to identify the quality of water</li><li>Students will understand the importance of making data informed decisions</li><li>Students will communicate data and policy</li><li>Students will collaborate in a group</li><li>Students will take ownership of their individual role</li></ul><p>Lesson vision shared in the powerpoint below</p><ul><li><a href=""https://docs.google.com/presentation/d/1G_2B9znDtLkiHsa0AkXSGGX5xhqp2TDNti-wtRXBaTs/edit?usp=sharing"" target=""_blank"">https://docs.google.com/presentation/d/1G_2B9znDtLkiHsa0AkXSGGX5xhqp2TDNti-wtRXBaTs/edit?usp=sharing </a></li></ul>","9C.1.3.3.1 Explain the political, societal, economic and environmental impact of chemical products and technologies.",analyzing-water.jpeg,analyzing-water.jpeg,Students will collect data on a local waterway and then use their data to create a policy to either continue the health of the waterway or clean up the waterway. 
Are We There Yet? How Astronomical Distances Are Measured Across Space,15,"4,5",50,,Space is big and getting bigger. How are we able to measure the distances to places we can't actually go to?,"<p>By the end of this lesson, students will:</p><ul><li>Understand some of the techniques scientists use to measure astronomical distances</li><li>Become familiar with the basic physics behind the various methodologies</li><li>Have learned a bit about the various natural phenomena used in the methodologies</li></ul>",,are-we-there-yet.jpeg,are-we-there-yet.jpeg,Space is big and getting bigger. How are we able to measure the distances to places we can't actually go to?
Art Elements and Art Principles,"3,14","4,5",6,14,"<p>What are the core elements used in describing, analyzing and interpreting works of Art? What are the key principles used in arranging a work of art?</p>","<p>By the end of this lesson, students will:</p><ul><li>be aware of the major elements of art analysis</li><li>have used what they have learnt about art elements and principles to analyze a specific piece of art</li><li>have seen how an art industry professional analyzes a piece of art in real time</li></ul><p><br></p><p><strong>Potential Activity for use by teacher in preparation for visit of guest instructor:</strong></p><p>In advance of the guest instruction, Students will create a set of Artist Trading Cards (white cardstock that measures 2.5 x 3.5 inches or 64 X 89 mm) in which they will choose a medium of their choice to demonstrate their knowledge of each of the seven art elements. Artist Trading Cards (ATCs) are miniature works of art that can be traded between students. Students may choose their own theme and can be made with any media, materials, or techniques.&nbsp;When the guest instructor is present, students will exhibit and verbally present and explain the Artist Trading Cards that they have created. Other potential lessons for this topic could be done to separate each of the art elements into smaller lessons.</p>","<p><strong>Visual Arts/Responding: #VA:Re7.2 </strong></p><ul><li>Anchor Standard: Perceive and analyze artistic work.</li><li>Enduring Understanding: Visual imagery influences understanding of and responses to the world.</li><li>Essential Questions: What is an image? Where and how do we encounter images in our world? How do images influence our views of the world?</li></ul><p>&nbsp;</p><p><strong>Grade Hs advanced: VA:Re7.2.HSIII: </strong></p><p>Determine the commonalities within a group of artists or visual images attributed to a particular type of art, timeframe, or culture</p><p><br></p><p><strong>Visual Arts/Creating: #VA:Cr1.1</strong></p><ul><li>Anchor Standard: Generate and conceptualize artistic ideas and work. </li><li>Enduring Understanding: Creativity and innovative thinking are essential life skills that can be developed.</li><li>Essential Questions: What conditions, attitudes, and behaviors support creativity and innovative thinking? What factors prevent or encourage people to take creative risks? How does collaboration expand the creative process?</li></ul><p><br></p><p><strong>Grade Hs advanced: VA:Cr1.1.HSIII: </strong></p><p>Visualize and hypothesize to generate plans for ideas and directions for creating art and design that can affect social change.</p><p><br></p><p><strong>Visual Arts/Creating: #VA:Cr1.2</strong></p><ul><li>Anchor Standard: Generate and conceptualize artistic ideas and work.</li><li>Enduring Understanding: Artists and designers shape artistic investigations, following or breaking with traditions in pursuit of creative art making goals.</li><li>Essential Questions: How does knowing the contexts histories, &amp; traditions of art forms help us create works of art &amp; design? Why do artists follow or break from established traditions? How do artists determine what resources are needed to formulate artistic investigations?</li></ul><p><br></p><p><strong>Grade Hs advanced: VA:Cr1.2.HSIII:</strong></p><p>Choose from a range of materials and methods of traditional and contemporary artistic practices, following or breaking established conventions, to plan the making of multiple works of art and design based on a theme, idea, or concept.</p><p><br></p><p><strong>Visual Arts/Connecting: #VA:Cn11.1</strong></p><ul><li>Anchor Standard: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding.</li><li>Enduring Understanding: People develop ideas and understandings of society, culture, and history through their interactions with and analysis of art.</li><li>Essential Questions: How does art help us understand the lives of people of different times, places, and cultures? How is art used to impact the views of a society? How does art preserve aspects of life? </li></ul><p><br></p><p><strong>Grade Hs advanced: VA:Cn11.1.HSIII: </strong></p><p>Appraise the impact of an artist or a group of artists on the beliefs, values, and behaviors of a society.</p>",art-elements.jpeg,art-elements.jpeg,Art elements are used as the foundational components within a work of art or design and the art principles are how the art elements are arranged within a work of art/design.
Banking Basics,4,"4,5",56,,<p>What services can a bank provide to me and how do I make use of a bankÕs services?</p>,"<p>By the end of this lesson, students will:</p><ul><li>understand how to open a bank account and how to deposit and withdraw money</li><li>understand how to use online banking services safely</li><li>know what the difference is between a credit and a debit card</li><li>have visited a bank and understand how to make use of the bank in person</li><li>know what a credit score is and why it is important</li></ul>",,banking-basics.jpeg,banking-basics.jpeg,What services can a bank provide to me and how do I make use of a bankÕs services?
Behavioral Genetics,8,"4,5",30,,<p>What impact do genetics have upon behavior? Is the impact significant or is environment the overwhelming determinant of behavior?</p>,"<p>By the end of this lesson, students will</p><ul><li>be aware of the impact of heredity and environment on behavior of an individual</li><li>understand how evolved tendencies can influence behavior</li><li>have seen examples of genetic impacts on behavior</li><li>have learnt about recent advances in genetic research within the sphere of psychology and behavior</li></ul>",<p><strong>APA Biological Basis of Behavior Content Standard 3: The interaction between biological factors and experience </strong></p><p>3.1 Describe concepts in genetic transmission.</p><p>3.2 Describe the interactive effects of heredity and environment.</p><p>3.3 Explain how evolved tendencies influence behavior.</p><p><br></p><p><strong>APA Biological Basis of Behavior Content Standard 4: Methods and issues related to biological advances </strong></p><p>4.1 Identify tools used to study the nervous system.</p><p>4.2 Describe advances made in neuroscience.</p><ul><li>4.3 Discuss issues related to scientific advances in neuroscience and genetics.</li></ul>,behavioral-genetics.jpg,behavioral-genetics.jpg,Describe and analyze the ways genetics can impact behavior.
